new_municipality,cardiac_arrests_number,points_coordinates
"brugge, belgium",124,"(3.2247552, 51.2091807)"
"oostende, belgium",93,"(2.9091818, 51.2246631)"
"kortrijk, belgium",67,"(3.2543899, 50.826806)"
"roeselare, belgium",60,"(3.1292766, 50.9498725)"
"knokke-heist, belgium",46,"(3.287162, 51.3410989)"
"menen, belgium",41,"(3.1215356, 50.79625490000001)"
"koksijde, belgium",41,"(2.6501559, 51.1054229)"
"blankenberge, belgium",38,"(3.1326709, 51.3124017)"
"izegem, belgium",28,"(3.2133625, 50.9180338)"
"ieper, belgium",28,"(2.8779388, 50.8492265)"
"bredene, belgium",27,"(2.9694055, 51.238587)"
"zedelgem, belgium",27,"(3.1369631, 51.142285)"
"middelkerke, belgium",23,"(2.8209053, 51.18513309999999)"
"torhout, belgium",23,"(3.1014139, 51.0662109)"
"diksmuide, belgium",21,"(2.8639376, 51.0316593)"
"nieuwpoort, belgium",19,"(2.7480379, 51.1284296)"
"waregem, belgium",19,"(3.4318203, 50.8867025)"
"moorslede, belgium",18,"(3.0633461, 50.8912006)"
"de-haan, belgium",16,"(3.0297205, 51.2769942)"
"gistel, belgium",16,"(2.9539942, 51.1494969)"
"harelbeke, belgium",16,"(3.3107149, 50.8566979)"
"zwevegem, belgium",15,"(3.3327954, 50.8130242)"
"de-panne, belgium",14,"(2.58877, 51.09547509999999)"
"tielt, belgium",14,"(3.3261192, 51.00004)"
"staden, belgium",14,"(3.0145745, 50.9746511)"
"wingene, belgium",14,"(3.2748763, 51.0587001)"
"heuvelland, belgium",14,"(2.8310063, 50.7825384)"
"deerlijk, belgium",14,"(3.3550981, 50.8541019)"
"jabbeke, belgium",13,"(3.0949017, 51.1830119)"
"kortemark, belgium",13,"(3.0441095, 51.028517)"
"wervik, belgium",13,"(3.0449082, 50.7840561)"
"poperinge, belgium",12,"(2.726943, 50.855593)"
"lichtervelde, belgium",12,"(3.1438026, 51.0277525)"
"damme, belgium",12,"(3.281448, 51.2512548)"
"ingelmunster, belgium",11,"(3.2536111, 50.9205829)"
"avelgem, belgium",10,"(3.4433947, 50.7720156)"
"wevelgem, belgium",10,"(3.1848187, 50.8091017)"
"oostkamp, belgium",10,"(3.2355133, 51.1545918)"
"veurne, belgium",10,"(2.6680397, 51.073177)"
"kuurne, belgium",10,"(3.2871717, 50.85398540000001)"
"oostrozebeke, belgium",9,"(3.3287686, 50.9205848)"
"pittem, belgium",9,"(3.2665389, 50.99314529999999)"
"ichtegem, belgium",8,"(3.0106044, 51.092857)"
"dentergem, belgium",8,"(3.4190114, 50.96344310000001)"
"wielsbeke, belgium",7,"(3.3726103, 50.9099221)"
"anzegem, belgium",7,"(3.4787448, 50.834992)"
"meulebeke, belgium",6,"(3.2901394, 50.94864680000001)"
"houthulst, belgium",6,"(2.9457422, 50.9773819)"
"koekelare, belgium",6,"(2.9796331, 51.0928159)"
"beernem, belgium",5,"(3.327833, 51.135044)"
"zonnebeke, belgium",4,"(3.0018193, 50.87572369999999)"
"alveringem, belgium",4,"(2.7096707, 51.0123385)"
"vleteren, belgium",4,"(2.736823, 50.9317417)"
"langemark-poelkapelle, belgium",4,"(2.9205259, 50.913564)"
"hooglede, belgium",4,"(3.0814404, 50.9785832)"
"mesen, belgium",3,"(2.897714300000001, 50.763799)"
"ruiselede, belgium",2,"(3.39667, 51.0409443)"
"oudenburg, belgium",2,"(3.0042344, 51.182657)"
"lo-reninge, belgium",2,"(2.7488442, 50.9806865)"
"ledegem, belgium",2,"(3.1233949, 50.8589295)"
"zuienkerke, belgium",1,"(3.153989, 51.2649564)"
